CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,acceso_bomberos_km,intersecciones_km2,densidad_vial,tipo_vial_pct,poblacion_total,densidad_pob,viviendas,riesgo_base,ocurrio_incendio,ia_probabilidad_incendio,riesgo_pob_vial,aislamiento_tactico,total_incendios
080370001514A066,8,37,1,514A,66,Urbana,Típica,2.56,0.0,62.13,0.0,51.0,51.0,3,BAJO,0,0.19937392283935965,3168.63,0.04119729642742195,0
0803700018271036,8,37,1,8271,36,Urbana,Típica,11.62,0.0,0.0,0.0,153.0,153.0,11,MEDIO,0,0.19632329127457634,0.0,1162.0,0
0803700018271009,8,37,1,8271,9,Urbana,Típica,11.41,0.0,0.0,0.0,112.0,112.0,7,MEDIO,0,0.14548021241631148,0.0,1141.0,0
0803700017057009,8,37,1,7057,9,Urbana,Típica,6.24,0.0,140.34,0.0,125.0,125.0,5,MEDIO,0,0.21927175100901328,17542.5,0.04446027787673673,0
0803700018271047,8,37,1,8271,47,Urbana,Típica,11.87,0.0,0.0,0.0,0.0,0.0,8,ALTO,0,0.13978040070621522,0.0,1187.0,0
0803700018271035,8,37,1,8271,35,Urbana,Típica,11.65,0.0,51.34,0.0,168.0,168.0,6,MEDIO,0,0.12453538031071837,8625.12,0.22687439143135346,0
0803700018271016,8,37,1,8271,16,Urbana,Típica,11.44,0.0,0.0,0.0,101.0,101.0,6,ALTO,0,0.12185570861687464,0.0,1144.0,0
0803700017292018,8,37,1,7292,18,Urbana,Típica,6.58,0.0,0.0,0.0,133.0,133.0,8,ALTO,0,0.22965025481978543,0.0,658.0,0
0803700016788046,8,37,1,6788,46,Urbana,Típica,3.99,0.0,0.0,0.0,123.0,123.0,9,MEDIO,0,0.12950841810005062,0.0,399.0,0
0803700018479007,8,37,1,8479,7,Urbana,Típica,11.65,0.0,0.0,0.0,66.0,66.0,12,MEDIO,0,0.10042506178129612,0.0,1165.0,0
0803700018479005,8,37,1,8479,5,Urbana,Típica,11.68,0.0,0.0,0.0,45.0,45.0,2,ALTO,0,0.1253088606540609,0.0,1168.0,0
