CVEGEO,CVE_MZA,TIPOMZA,total_incendios,acceso_bomberos_km,densidad_vial,poblacion_total,riesgo_base,densidad_incendios_500m,distancia_bomberos_m
0803700017682061,61,Típica,0.0,4.81,0.0,103,MEDIO,0,4806.073564578386
0803700016839032,32,Típica,0.0,3.96,127.63,79,ALTO,0,3964.0470423133906
0803700016839031,31,Típica,1.0,3.93,0.0,85,ALTO,0,3932.623793899094
0803700016839030,30,Típica,4.0,3.97,0.0,41,ALTO,0,3973.5536409630113
0803700016839029,29,Típica,0.0,3.96,48.33,76,MEDIO,0,3957.994703801442
0803700017875009,9,Típica,0.0,7.87,0.0,58,MEDIO,0,7870.307062988129
0803700015224094,94,Típica,0.0,4.52,0.0,87,MEDIO,0,4516.432542075697
0803700015900053,53,Típica,0.0,5.93,0.0,37,MEDIO,0,5931.106416376549
0803700014688048,48,Típica,1.0,0.17,0.0,66,ALTO,0,165.67278014236098
0803700012338067,67,Típica,0.0,2.1,77.19,52,BAJO,0,2102.7740297408277
080370001222A108,108,Típica,0.0,4.36,0.0,86,MEDIO,0,4360.287215988372
080370001222A089,89,Típica,0.0,3.52,5.27,0,MEDIO,0,3521.8040340412927
080370001222A051,51,Típica,1.0,3.85,0.0,135,ALTO,0,3853.4960839230152
080370001222A007,7,Típica,0.0,4.15,0.0,191,MEDIO,0,4149.515048241469
0803700016398032,32,Típica,0.0,3.73,92.13,0,ALTO,0,3729.1283455306975
0803700015224108,108,Típica,0.0,4.33,0.0,81,MEDIO,0,4330.855386959354
080370001222A008,8,Típica,1.0,4.53,0.0,0,ALTO,0,4534.8098653543375
0803700017930068,68,Típica,0.0,8.58,0.0,23,MEDIO,0,8581.418583342858
0803700017979067,67,Típica,0.0,11.39,63.78,6,ALTO,0,11392.923078421953
0803700017979050,50,Típica,0.0,11.09,0.0,69,MEDIO,0,11094.000560984903
080370001222A072,72,Típica,0.0,4.19,0.0,95,MEDIO,0,4185.368316821632
080370001222A071,71,Típica,0.0,4.13,0.0,88,MEDIO,0,4133.794848369445
080370001222A070,70,Típica,0.0,4.08,0.0,79,MEDIO,0,4084.7100731050014
080370001222A069,69,Típica,0.0,4.04,143.38,100,MEDIO,0,4035.663079006965
0803700018318007,7,Típica,0.0,8.83,0.0,23,MEDIO,0,8828.690099014524
0803700017979034,34,Típica,0.0,11.41,65.76,26,MEDIO,0,11408.399426369053
0803700017945069,69,Típica,0.0,6.72,0.0,88,MEDIO,0,6722.391620502194
0803700012338093,93,Típica,0.0,2.17,0.0,10,BAJO,0,2170.3643875772036
0803700012338066,66,Típica,0.0,2.1,0.0,72,BAJO,0,2101.454417859406
0803700012338065,65,Típica,0.0,2.06,0.0,186,BAJO,0,2055.992288970671
0803700012338064,64,Típica,0.0,2.1,0.0,71,BAJO,0,2101.8811178255446
080370001222A068,68,Típica,0.0,3.99,0.0,103,MEDIO,0,3986.693813155881
080370001222A065,65,Típica,0.0,3.92,0.0,124,MEDIO,0,3924.1785685358477
080370001222A061,61,Típica,0.0,4.14,0.0,31,MEDIO,0,4139.50564474807
080370001222A045,45,Típica,0.0,3.72,0.0,45,MEDIO,0,3724.193102868312
080370001222A001,1,Típica,2.0,4.31,0.0,1,ALTO,0,4313.484054021055
0803700018233010,10,Típica,0.0,7.46,0.0,60,MEDIO,0,7462.191209459278
0803700018303003,3,Típica,5.0,11.64,0.0,28,ALTO,0,11639.299827899325
0803700018303002,2,Típica,1.0,11.78,0.0,64,ALTO,0,11779.299128501405
0803700018229062,62,Típica,0.0,7.36,0.0,21,MEDIO,0,7359.425367815914
0803700017998045,45,Típica,0.0,11.49,0.0,97,MEDIO,0,11491.283620377555
0803700017983055,55,Típica,0.0,11.25,74.72,83,ALTO,0,11251.521618631225
0803700017945064,64,Típica,0.0,7.64,15.51,92,ALTO,0,7641.455907498752
0803700017930066,66,Típica,0.0,8.54,0.0,84,MEDIO,0,8542.836450918168
0803700017930046,46,Típica,0.0,8.71,0.0,104,MEDIO,0,8714.127991910698
0803700017930029,29,Típica,0.0,8.3,0.0,17,MEDIO,0,8303.903124452905
0803700017875003,3,Típica,5.0,7.74,0.0,160,ALTO,0,7738.884791353695
